id,specie,colony,treatment,tank,red_sum,red_std,green_sum,green_std,blue_sum,blue_std,gray_sum,gray_std
A-T1-2,Pve,A,MP + HF,1,178.2355,31.4799,169.326,32.4381,154.5113,37.2659,178.6454,49.8668
B-T1-2,Pve,B,MP + HF,1,207.63,29.8103,197.2338,31.4903,180.1959,36.5661,198.6246,36.7564
C-T1-2,Pve,C,MP + HF,1,138.4694,39.5127,131.5656,40.3251,114.4573,43.8066,157.802,31.1945
D-T1-2,Pve,D,MP + HF,1,222.0486,24.9707,215.572,26.2241,191.4492,31.1919,214.5545,40.0768
A-T6-2,Pve,A,MP + HF,6,124.0953,30.0109,115.884,35.4006,110.2634,40.2734,136.9707,24.791
B-T6-2,Pve,B,MP + HF,6,185.7047,30.1899,179.4695,36.5188,162.2529,44.4682,181.206,30.796
C-T6-2,Pve,C,MP + HF,6,127.3232,38.6783,119.9724,41.6305,104.2274,38.9626,148.8126,29.0909
D-T6-2,Pve,D,MP + HF,6,182.8005,33.0245,178.5411,37.2541,160.2422,42.3904,175.52,35.0238
A-T11-2,Pve,A,MP + HF,11,176.9968,24.2357,173.8275,27.6026,158.4615,31.9723,190.3987,50.2131
B-T11-2,Pve,B,MP + HF,11,206.7313,29.5686,203.7954,32.284,180.2739,30.4658,209.4276,41.2869
C-T11-2,Pve,C,MP + HF,11,187.2348,23.3364,184.4955,26.148,163.7327,29.6073,194.013,47.6437
D-T11-2,Pve,D,MP + HF,11,166.3654,30.2855,165.4263,31.7876,137.4876,29.0492,185.4096,36.3623
A-T1,Spi,A,MP + HF,1,185.3223,44.9586,190.0242,45.8777,188.1554,43.8704,196.8181,43.5357
C-T1,Spi,C,MP + HF,1,134.94,42.4392,127.5576,47.8855,114.618,52.5771,148.8528,28.1883
D-T1,Spi,D,MP + HF,1,173.4093,41.2325,175.1662,41.0967,165.7256,37.7997,197.8442,41.8088
A-T6,Spi,A,MP + HF,6,198.8108,31.6833,206.7728,34.9604,203.9589,37.5862,208.4731,46.1454
D-T6,Spi,D,MP + HF,6,191.1871,38.1708,190.9921,43.4994,186.8965,47.0658,187.575,43.7877
A-T11,Spi,A,MP + HF,11,198.2083,28.0835,207.0049,30.4648,200.7518,31.3264,210.4873,47.0042
C-T11,Spi,C,MP + HF,11,179.921,26.8461,171.5258,31.78,160.1606,33.2822,180.9864,40.2363
D-T11,Spi,D,MP + HF,11,191.1506,27.4079,194.8152,31.6473,180.7393,35.7734,199.647,51.0313
B-T4-2,Pve,B,MP,4,202.0242,32.6594,199.0833,34.8416,184.0956,37.2147,199.1812,37.1683
D-T4-2,Pve,D,MP,4,114.3735,28.8352,110.1321,32.5407,92.5331,33.0689,154.9239,18.4494
A-T9-2,Pve,A,MP,9,126.4642,34.2598,120.3321,36.7067,112.6712,38.9325,127.0475,34.0754
B-T9-2,Pve,B,MP,9,161.5529,28.061,162.235,34.8964,146.788,40.0334,182.8065,46.8351
C-T9-2,Pve,C,MP,9,172.1339,28.8842,166.5978,33.0189,148.268,37.697,168.0583,49.3746
D-T9-2,Pve,D,MP,9,160.673,33.0793,149.0393,38.5916,131.7202,44.8613,156.0302,35.9851
A-T14-2,Pve,A,MP,14,146.1357,35.6254,132.1176,39.047,119.6865,43.1739,142.4987,31.4374
B-T14-2,Pve,B,MP,14,128.882,39.9854,120.376,44.1305,97.6871,49.6545,128.8153,27.1631
C-T14-2,Pve,C,MP,14,144.6417,34.9157,136.0444,37.3643,116.7221,44.2419,149.0256,32.1549
D-T14-2,Pve,D,MP,14,152.8999,40.3051,143.9793,45.5932,135.3694,49.6135,149.9511,31.6485
B-T4,Spi,B,MP,4,190.7832,31.3044,195.8356,32.5395,153.6569,43.1619,194.5439,30.2282
C-T4,Spi,C,MP,4,186.8299,25.1404,177.4149,27.4828,166.6936,28.5642,182.4963,35.5232
A-T9,Spi,A,MP,9,209.4961,30.089,219.4644,33.8295,211.8637,33.5382,219.1585,52.2291
B-T9,Spi,B,MP,9,142.8657,36.3537,129.0682,40.5976,114.4172,41.8376,142.7898,27.4799
C-T9,Spi,C,MP,9,167.6727,27.577,153.7489,32.9237,136.2021,32.7334,160.867,48.2507
D-T9,Spi,D,MP,9,191.137,27.005,199.3519,27.8387,187.5335,27.3456,207.0389,42.6787
A-T14,Spi,A,MP,14,170.4144,32.3505,180.0416,36.7524,173.6619,38.9699,179.6329,38.8303
B-T14,Spi,B,MP,14,157.0324,42.9619,139.5575,43.1144,115.5357,43.2517,142.4725,27.1768
C-T14,Spi,C,MP,14,194.8709,27.4039,184.9129,30.321,173.2861,33.3779,183.8633,35.9424
D-T14,Spi,D,MP,14,161.5856,41.7295,161.8939,44.9163,153.3047,50.1017,158.8873,40.4798
A-T5-2,Pve,A,Control,5,168.5732,29.2527,166.8048,32.7077,153.7905,39.0866,183.7041,49.1877
B-T5-2,Pve,B,Control,5,163.7145,29.848,157.2347,34.006,138.2622,42.8785,175.0066,41.1326
C-T5-2,Pve,C,Control,5,112.3107,38.6621,109.3465,44.1233,98.9122,47.7935,124.7581,36.0787
D-T5-2,Pve,D,Control,5,207.3687,27.0121,200.0054,29.8501,177.4187,35.9954,202.6473,38.8217
A-T10-2,Pve,A,Control,10,186.5369,27.2299,179.8124,29.8114,165.5362,31.8154,186.1709,40.0589
B-T10-2,Pve,B,Control,10,214.4159,27.1514,212.4337,27.6651,183.3746,23.9086,214.3109,35.481
C-T10-2,Pve,C,Control,10,112.2097,26.6002,106.4695,29.6882,87.1454,31.0981,152.1507,24.5603
D-T10-2,Pve,D,Control,10,186.8129,30.5316,183.8393,31.5943,158.5459,31.2208,182.2115,36.8537
B-T15-2,Pve,B,Control,15,170.7699,33.8764,163.4611,37.9784,146.9185,43.8253,167.6764,29.38
C-T15-2,Pve,C,Control,15,177.2966,31.0801,165.5438,36.4079,156.2715,40.69,163.1086,40.2802
D-T15-2,Pve,D,Control,15,196.2566,37.9073,197.3297,40.0216,182.2163,38.3582,194.7233,43.5278
B-T5,Spi,B,Control,5,142.3964,30.9348,141.4166,34.0311,113.5222,35.7884,173.6291,22.9589
C-T5,Spi,C,Control,5,163.5922,23.1948,157.6603,24.9366,143.3324,26.3997,167.9541,46.8361
D-T5,Spi,D,Control,5,179.0622,29.5388,186.0465,33.0687,179.9003,36.6547,189.8376,58.8863
A-T10,Spi,A,Control,10,208.3004,29.509,207.7875,31.2315,192.2601,29.8261,209.0996,37.3165
B-T10,Spi,B,Control,10,203.4446,40.4531,205.2131,41.272,177.7399,39.8512,205.4959,26.516
C-T10,Spi,C,Control,10,196.4019,28.7419,183.2844,29.8007,162.1647,29.5918,191.7716,29.3688
D-T10,Spi,D,Control,10,197.8266,31.2711,194.9163,31.9213,171.8932,27.7994,203.4268,32.7778
A-T15,Spi,A,Control,15,187.9742,30.5478,195.3589,32.7943,194.8285,35.186,202.9438,40.611
B-T15,Spi,B,Control,15,199.2263,33.4927,191.3726,36.6441,152.5911,39.2852,184.3742,41.7429
C-T15,Spi,C,Control,15,181.6666,34.2122,173.5669,38.512,159.8244,40.6371,183.0646,43.7603
D-T15,Spi,D,Control,15,179.0622,29.5388,186.0465,33.0687,179.9003,36.6547,189.8376,58.8863
